"Case Number";"Season";"Year";"Type";"Country";"Area";"Sex";"Fatal (Y/N)";"Species";"original order"
"";"Fall";"1905";"Provoked";"USA";"Florida";"M";"N";"Unknown";815
"1900.08.21";"Summer";"1900";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";746
"1900.09.05";"Fall";"1900";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";747
"1901.00.00";"Summer";"1901";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";753
"1902.07.06";"Summer";"1902";"Provoked";"USA";"New Jersey";"M";"N";"Unknown";769
"1902.08.08";"Summer";"1902";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";771
"1902.11.01.R";"Fall";"1902";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";774
"1903.09.16.R";"Fall";"1903";"Unprovoked";"USA";"New Jersey";"M";"N";"Unknown";785
"1904.07.27";"Summer";"1904";"Unprovoked";"USA";"Texas";"M";"Y";"Unknown";795
"1904.07.28";"Summer";"1904";"Unprovoked";"USA";"New Jersey";"M";"N";"Unknown";796
"1905.05.22";"Spring";"1905";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";807
"1905.07.00";"Summer";"1905";"Unprovoked";"USA";"North Carolina";"M";"Y";"Unknown";808
"1905.07.29";"Summer";"1905";"Unprovoked";"USA";"North Carolina";"M";"Y";"Unknown";811
"1905.08.00.b";"Summer";"1905";"Unprovoked";"USA";"New Jersey";"M";"N";"Unknown";813
"1906.07.05.R";"Summer";"1906";"Unprovoked";"USA";"Mississippi";"M";"Y";"Unknown";828
"1906.08.04";"Summer";"1906";"Unprovoked";"USA";"Maryland";"M";"Y";"Not Shark";829
"1906.09.00";"Fall";"1906";"Provoked";"USA";"California";"M";"N";"Shortfin Mako Shark";831
"1906.10.10.a.R";"Fall";"1906";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";835
"1906.10.10.b.R";"Fall";"1906";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";836
"1906.10.10.c.R";"Fall";"1906";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";837
"1906.10.10.d.R";"Fall";"1906";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";838
"1907.03.26";"Spring";"1907";"Unprovoked";"USA";"Florida";"M";"Y";"Unknown";846
"1907.07.00";"Summer";"1907";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";848
"1907.08.08.R";"Summer";"1907";"Unprovoked";"USA";"New Jersey";"M";"N";"Unknown";851
"1907.10.08";"Fall";"1907";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";856
"1908.01.08";"Winter";"1908";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";863
"1908.06.08";"Summer";"1908";"Sea Disaster";"USA";"Georgia";"M";"Y";"Unknown";867
"1908.09.05";"Fall";"1908";"Unprovoked";"USA";"California";"M";"N";"Unknown";872
"1909.07.15";"Summer";"1909";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";886
"1909.07.24";"Summer";"1909";"Unprovoked";"USA";"New York";"M";"N";"Unknown";887
"1909.08.13";"Summer";"1909";"Unprovoked";"USA";"Florida";"M";"Y";"Unknown";888
"1909.09.04.R";"Fall";"1909";"Provoked";"USA";"Delaware";"M";"N";"Unknown";889
"1909.12.26.R";"Fall";"1909";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";893
"1911.05.01.R";"Spring";"1911";"Provoked";"USA";"Texas";"M";"N";"Unknown";914
"1911.07.16.R";"Summer";"1911";"Provoked";"USA";"Delaware";"M";"N";"Unknown";916
"1911.09.17";"Fall";"1911";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";918
"1911.09.20";"Fall";"1911";"Unprovoked";"USA";"Florida";"M";"Y";"Unknown";919
"1911.09.23";"Fall";"1911";"Unprovoked";"USA";"Texas";"M";"Y";"Unknown";920
"1911.10.26";"Fall";"1911";"Unprovoked";"USA";"South Carolina";"M";"Y";"Unknown";922
"1912.07.23";"Summer";"1912";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";935
"1912.08.30";"Summer";"1912";"Unprovoked";"USA";"Georgia";"M";"Y";"Unknown";936
"1913.05.21";"Spring";"1913";"Provoked";"USA";"Florida";"M";"N";"Unknown";944
"1913.07.12";"Summer";"1913";"Unprovoked";"USA";"South Carolina";"M";"Y";"Unknown";946
"1913.09.21";"Fall";"1913";"Unprovoked";"USA";"Florida";"M";"N";"Hammerhead Shark";951
"1914.03.03";"Spring";"1914";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";960
"1914.05.14";"Spring";"1914";"Provoked";"USA";"Florida";"F";"N";"Unknown";963
"1914.07.08.R";"Summer";"1914";"Provoked";"USA";"Louisiana";"M";"N";"Unknown";968
"1914.09.09";"Fall";"1914";"Unprovoked";"USA";"Louisiana";"M";"Y";"Unknown";970
"1915.08.03";"Summer";"1915";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";982
"1916.06.23";"Summer";"1916";"Provoked";"USA";"Florida";"M";"N";"Unknown";989
"1916.06.30";"Summer";"1916";"Unprovoked";"USA";"New Jersey";"M";"N";"Unknown";991
"1916.07.01";"Summer";"1916";"Unprovoked";"USA";"New Jersey";"M";"Y";"Unknown";992
"1916.07.06";"Summer";"1916";"Unprovoked";"USA";"New Jersey";"M";"Y";"Unknown";993
"1916.07.12.a";"Summer";"1916";"Unprovoked";"USA";"New Jersey";"M";"Y";"Unknown";997
"1916.07.12.b";"Summer";"1916";"Unprovoked";"USA";"New Jersey";"M";"Y";"Unknown";998
"1916.07.12.c";"Summer";"1916";"Unprovoked";"USA";"New Jersey";"M";"N";"Unknown";999
"1916.07.13";"Summer";"1916";"Unprovoked";"USA";"New York";"M";"N";"Unknown";1000
"1916.07.26";"Summer";"1916";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";1002
"1916.08.24";"Summer";"1916";"Unprovoked";"USA";"Louisiana";"M";"N";"Unknown";1003
